Record_ID,NCBI_GeneID,Gene_Symbol,Chromosome,Gene_Type,Sample_ID,Tissue,Condition,Expression_Level,Expression_Log2,Fold_Change,Significance_PValue,Expression_Category
252,46,ACLS,,NCBI-derived gene type,S0252,Liver,Treatment,1790.23,10.806,3.463,0.0123312,High
253,47,ACLY,,NCBI-derived gene type,S0253,Heart,Treatment,900.0,9.814,1.652,7.61e-05,High
254,48,ACO1,,NCBI-derived gene type,S0254,Lung,Treatment,997.39,9.962,2.733,0.008698,High
255,49,ACR,,NCBI-derived gene type,S0255,Kidney,Treatment,754.5,9.559,0.991,0.0038136,High
256,50,ACO2,,NCBI-derived gene type,S0256,Muscle,Treatment,1605.56,10.649,1.73,0.0191327,High
257,51,ACOX1,,NCBI-derived gene type,S0257,Blood,Treatment,429.72,8.747,3.415,0.0072727,Medium
258,52,ACP1,,NCBI-derived gene type,S0258,Colon,Treatment,206.37,7.689,0.849,0.003881,Medium
259,53,ACP2,,NCBI-derived gene type,S0259,Breast,Treatment,356.87,8.479,0.644,0.460902,Medium
260,54,ACP5,,NCBI-derived gene type,S0260,Skin,Treatment,1647.31,10.686,1.804,3.57e-05,High
261,55,ACPP,,NCBI-derived gene type,S0261,Brain,Control,832.98,9.702,0.999,0.0233365,High
262,56,ACRV1,,NCBI-derived gene type,S0262,Liver,Control,511.33,8.998,0.841,0.083792,High
263,58,ACTA1,,NCBI-derived gene type,S0263,Heart,Control,980.34,9.937,0.821,0.0038989,High
264,59,ACTA2,,NCBI-derived gene type,S0264,Lung,Control,386.67,8.595,1.295,0.0024476,Medium
265,60,ACTB,,NCBI-derived gene type,S0265,Kidney,Control,879.93,9.781,1.255,0.0001988,High
266,62,ACTBP2,,NCBI-derived gene type,S0266,Muscle,Control,791.06,9.628,0.94,0.2460183,High
267,63,ACTBP3,,NCBI-derived gene type,S0267,Blood,Control,510.2,8.995,1.224,0.0002135,High
268,64,ACTBP4,,NCBI-derived gene type,S0268,Colon,Control,302.06,8.239,1.061,0.4952688,Medium
269,66,ACTBP6,,NCBI-derived gene type,S0269,Breast,Control,492.19,8.943,0.754,0.0033988,Medium
270,67,ACTBP7,,NCBI-derived gene type,S0270,Skin,Control,348.4,8.445,1.036,0.003582,Medium
271,68,ACTBP8,,NCBI-derived gene type,S0271,Brain,Treatment,624.62,9.287,1.364,7.7e-05,High
272,69,ACTBP9,,NCBI-derived gene type,S0272,Liver,Treatment,1503.69,10.554,2.151,0.0001252,High
273,70,ACTC1,,NCBI-derived gene type,S0273,Heart,Treatment,378.62,8.565,0.487,0.0316311,Medium
274,71,ACTG1,,NCBI-derived gene type,S0274,Lung,Treatment,2053.63,11.004,2.906,0.0006525,High
275,72,ACTG2,,NCBI-derived gene type,S0275,Kidney,Treatment,1953.1,10.932,2.935,0.4072351,High
276,73,ACTG1P1,,NCBI-derived gene type,S0276,Muscle,Treatment,232.3,7.86,0.467,0.0022949,Medium
277,74,ACTG1P2,,NCBI-derived gene type,S0277,Blood,Treatment,1829.73,10.837,3.09,0.1284384,High
278,75,ACTG1P3,,NCBI-derived gene type,S0278,Colon,Treatment,889.2,9.796,2.007,0.0014046,High
279,78,ACTG1P6,,NCBI-derived gene type,S0279,Breast,Treatment,1188.12,10.214,1.641,0.0119529,High
280,79,ACTG1P7,,NCBI-derived gene type,S0280,Skin,Treatment,290.04,8.18,1.829,0.3591344,Medium
281,80,ACTG1P8,,NCBI-derived gene type,S0281,Brain,Control,341.87,8.417,1.135,0.0113301,Medium
282,81,ACTN4,,NCBI-derived gene type,S0282,Liver,Control,852.51,9.736,1.247,0.1093725,High
283,86,ACTL6A,,NCBI-derived gene type,S0283,Heart,Control,383.11,8.582,0.872,0.0238766,Medium
284,87,ACTN1,,NCBI-derived gene type,S0284,Lung,Control,760.6,9.571,1.261,1.47e-05,High
285,88,ACTN2,,NCBI-derived gene type,S0285,Kidney,Control,73.08,6.191,1.092,0.2129937,Low
286,89,ACTN3,,NCBI-derived gene type,S0286,Muscle,Control,997.44,9.962,1.173,0.0010956,High
287,90,ACVR1,,NCBI-derived gene type,S0287,Blood,Control,102.95,6.686,1.094,0.1262183,Medium
288,91,ACVR1B,,NCBI-derived gene type,S0288,Colon,Control,446.46,8.802,1.136,0.1762354,Medium
289,92,ACVR2A,,NCBI-derived gene type,S0289,Breast,Control,50.76,5.666,1.207,0.0002392,Low
290,93,ACVR2B,,NCBI-derived gene type,S0290,Skin,Control,377.97,8.562,0.752,0.0031368,Medium
291,94,ACVRL1,,NCBI-derived gene type,S0291,Brain,Treatment,1617.06,10.659,2.846,6.29e-05,High
292,95,ACY1,,NCBI-derived gene type,S0292,Liver,Treatment,258.5,8.014,3.093,0.0081778,Medium
293,97,ACYP1,,NCBI-derived gene type,S0293,Heart,Treatment,789.02,9.624,3.225,4.71e-05,High
294,98,ACYP2,,NCBI-derived gene type,S0294,Lung,Treatment,533.43,9.059,1.15,0.0001585,High
295,100,ADA,,NCBI-derived gene type,S0295,Kidney,Treatment,41.4,5.371,2.885,0.1720617,Low
296,101,ADAM8,,NCBI-derived gene type,S0296,Muscle,Treatment,575.73,9.169,0.848,0.0011916,High
297,102,ADAM10,,NCBI-derived gene type,S0297,Blood,Treatment,767.74,9.584,2.201,0.0100696,High
298,103,ADAR,,NCBI-derived gene type,S0298,Colon,Treatment,486.06,8.925,1.138,0.0939568,Medium
299,104,ADARB1,,NCBI-derived gene type,S0299,Breast,Treatment,317.39,8.31,1.562,0.0018667,Medium
300,105,ADARB2,,NCBI-derived gene type,S0300,Skin,Treatment,518.57,9.018,2.152,0.0050306,High
301,106,ADCP1,,NCBI-derived gene type,S0301,Brain,Control,992.73,9.955,0.857,0.3947654,High
302,107,ADCY1,,NCBI-derived gene type,S0302,Liver,Control,659.94,9.366,0.842,0.0045695,High
303,108,ADCY2,,NCBI-derived gene type,S0303,Heart,Control,687.37,9.425,1.171,1.7e-05,High
304,109,ADCY3,,NCBI-derived gene type,S0304,Lung,Control,608.37,9.249,0.998,0.1776355,High
305,111,ADCY5,,NCBI-derived gene type,S0305,Kidney,Control,289.76,8.179,1.209,0.0071319,Medium
306,112,ADCY6,,NCBI-derived gene type,S0306,Muscle,Control,355.56,8.474,1.096,0.008283,Medium
307,113,ADCY7,,NCBI-derived gene type,S0307,Blood,Control,679.38,9.408,1.155,0.0125358,High
308,114,ADCY8,,NCBI-derived gene type,S0308,Colon,Control,839.15,9.713,1.09,0.1761966,High
309,115,ADCY9,,NCBI-derived gene type,S0309,Breast,Control,648.11,9.34,0.866,0.00118,High
310,116,ADCYAP1,,NCBI-derived gene type,S0310,Skin,Control,581.68,9.184,1.163,2.65e-05,High
311,117,ADCYAP1R1,,NCBI-derived gene type,S0311,Brain,Treatment,807.68,9.658,2.705,6.69e-05,High
312,118,ADD1,,NCBI-derived gene type,S0312,Liver,Treatment,279.7,8.128,2.049,0.3681298,Medium
313,119,ADD2,,NCBI-derived gene type,S0313,Heart,Treatment,1720.89,10.749,3.227,0.0800242,High
314,120,ADD3,,NCBI-derived gene type,S0314,Lung,Treatment,768.44,9.586,2.948,0.0018394,High
315,122,ADFN,,NCBI-derived gene type,S0315,Kidney,Treatment,2181.47,11.091,2.702,0.0003908,High
316,123,PLIN2,,NCBI-derived gene type,S0316,Muscle,Treatment,404.6,8.66,3.383,4.59e-05,Medium
317,124,ADH1A,,NCBI-derived gene type,S0317,Blood,Treatment,2957.46,11.53,3.059,0.0253407,High
318,125,ADH1B,,NCBI-derived gene type,S0318,Colon,Treatment,3329.11,11.701,3.397,0.0604731,High
319,126,ADH1C,,NCBI-derived gene type,S0319,Breast,Treatment,1048.05,10.033,2.841,1.16e-05,High
320,127,ADH4,,NCBI-derived gene type,S0320,Skin,Treatment,960.61,9.908,1.783,0.0145309,High
321,128,ADH5,,NCBI-derived gene type,S0321,Brain,Control,673.98,9.397,1.059,0.0733434,High
322,1,A1BG,,NCBI-derived gene type,S0322,Liver,Control,940.59,9.877,0.726,0.0001256,High
323,2,A2M,,NCBI-derived gene type,S0323,Heart,Control,29.9,4.902,1.269,0.0043513,Low
324,3,A2MP1,,NCBI-derived gene type,S0324,Lung,Control,915.68,9.839,0.805,1.98e-05,High
325,9,NAT1,,NCBI-derived gene type,S0325,Kidney,Control,824.74,9.688,1.287,0.0002632,High
326,10,NAT2,,NCBI-derived gene type,S0326,Muscle,Control,411.25,8.684,0.748,0.2801749,Medium
327,11,NATP,,NCBI-derived gene type,S0327,Blood,Control,307.84,8.266,0.995,2.86e-05,Medium
328,12,SERPINA3,,NCBI-derived gene type,S0328,Colon,Control,887.82,9.794,0.745,0.0013556,High
329,13,AADAC,,NCBI-derived gene type,S0329,Breast,Control,672.13,9.393,1.17,0.2793047,High
330,14,AAMP,,NCBI-derived gene type,S0330,Skin,Control,422.03,8.721,1.17,5.32e-05,Medium
331,15,AANAT,,NCBI-derived gene type,S0331,Brain,Treatment,276.56,8.111,0.662,0.0019949,Medium
332,16,AARS,,NCBI-derived gene type,S0332,Liver,Treatment,1375.99,10.426,3.347,1.42e-05,High
333,17,AAVS1,,NCBI-derived gene type,S0333,Heart,Treatment,652.69,9.35,1.747,0.2935008,High
334,18,ABAT,,NCBI-derived gene type,S0334,Lung,Treatment,567.61,9.149,0.663,0.0166993,High
335,19,ABCA1,,NCBI-derived gene type,S0335,Kidney,Treatment,1875.44,10.873,3.43,0.000485,High
336,20,ABCA2,,NCBI-derived gene type,S0336,Muscle,Treatment,380.25,8.571,0.948,3.75e-05,Medium
337,21,ABCA3,,NCBI-derived gene type,S0337,Blood,Treatment,1512.85,10.563,1.782,0.0130321,High
338,22,ABCB7,,NCBI-derived gene type,S0338,Colon,Treatment,1435.65,10.487,2.231,1.26e-05,High
339,23,ABCF1,,NCBI-derived gene type,S0339,Breast,Treatment,880.23,9.782,1.117,3.91e-05,High
340,24,ABCA4,,NCBI-derived gene type,S0340,Skin,Treatment,320.85,8.326,0.566,0.0394675,Medium
341,25,ABL1,,NCBI-derived gene type,S0341,Brain,Control,211.12,7.722,0.801,0.12234,Medium
342,26,AOC1,,NCBI-derived gene type,S0342,Liver,Control,331.92,8.375,0.753,0.1708031,Medium
343,27,ABL2,,NCBI-derived gene type,S0343,Heart,Control,7.82,2.967,1.251,4.79e-05,Low
344,28,ABO,,NCBI-derived gene type,S0344,Lung,Control,134.34,7.07,0.825,6.61e-05,Medium
345,29,ABR,,NCBI-derived gene type,S0345,Kidney,Control,662.75,9.372,0.668,1.17e-05,High
346,30,ACAA1,,NCBI-derived gene type,S0346,Muscle,Control,791.03,9.628,0.817,0.0003324,High
347,31,ACACA,,NCBI-derived gene type,S0347,Blood,Control,178.37,7.479,0.687,0.0306249,Medium
348,32,ACACB,,NCBI-derived gene type,S0348,Colon,Control,528.46,9.046,1.172,0.0017312,High
349,33,ACADL,,NCBI-derived gene type,S0349,Breast,Control,779.13,9.606,1.009,3.26e-05,High
350,34,ACADM,,NCBI-derived gene type,S0350,Skin,Control,506.32,8.984,1.312,1.6e-05,High
351,35,ACADS,,NCBI-derived gene type,S0351,Brain,Treatment,2416.45,11.239,3.081,0.0028237,High
352,36,ACADSB,,NCBI-derived gene type,S0352,Liver,Treatment,1560.42,10.608,3.387,1.93e-05,High
353,37,ACADVL,,NCBI-derived gene type,S0353,Heart,Treatment,777.81,9.603,1.615,0.0167748,High
354,38,ACAT1,,NCBI-derived gene type,S0354,Lung,Treatment,1584.68,10.63,3.216,2.22e-05,High
355,39,ACAT2,,NCBI-derived gene type,S0355,Kidney,Treatment,193.5,7.596,2.266,2.04e-05,Medium
356,40,ASIC2,,NCBI-derived gene type,S0356,Muscle,Treatment,653.19,9.351,2.344,0.0037781,High
357,41,ASIC1,,NCBI-derived gene type,S0357,Blood,Treatment,1144.4,10.16,3.483,0.0031161,High
358,43,ACHE,,NCBI-derived gene type,S0358,Colon,Treatment,1030.24,10.009,2.257,2.93e-05,High
359,46,ACLS,,NCBI-derived gene type,S0359,Breast,Treatment,2135.34,11.06,3.036,0.0114633,High
360,47,ACLY,,NCBI-derived gene type,S0360,Skin,Treatment,2018.21,10.979,2.621,0.0001025,High
361,48,ACO1,,NCBI-derived gene type,S0361,Brain,Control,454.3,8.827,0.81,0.0003917,Medium
362,49,ACR,,NCBI-derived gene type,S0362,Liver,Control,456.23,8.834,0.941,2.8e-05,Medium
363,50,ACO2,,NCBI-derived gene type,S0363,Heart,Control,429.63,8.747,1.116,0.0005744,Medium
364,51,ACOX1,,NCBI-derived gene type,S0364,Lung,Control,156.88,7.293,1.296,2.07e-05,Medium
365,52,ACP1,,NCBI-derived gene type,S0365,Kidney,Control,832.61,9.702,0.715,2.84e-05,High
366,53,ACP2,,NCBI-derived gene type,S0366,Muscle,Control,740.1,9.532,1.218,0.0041204,High
367,54,ACP5,,NCBI-derived gene type,S0367,Blood,Control,588.53,9.201,1.043,0.0003543,High
368,55,ACPP,,NCBI-derived gene type,S0368,Colon,Control,126.62,6.984,0.898,0.0133999,Medium
369,56,ACRV1,,NCBI-derived gene type,S0369,Breast,Control,751.53,9.554,1.258,0.0244898,High
370,58,ACTA1,,NCBI-derived gene type,S0370,Skin,Control,968.56,9.92,1.07,0.0004495,High
371,59,ACTA2,,NCBI-derived gene type,S0371,Brain,Treatment,591.7,9.209,1.02,0.0122085,High
372,60,ACTB,,NCBI-derived gene type,S0372,Liver,Treatment,157.61,7.3,0.691,0.0940275,Medium
373,62,ACTBP2,,NCBI-derived gene type,S0373,Heart,Treatment,1020.31,9.995,2.752,0.0049919,High
374,63,ACTBP3,,NCBI-derived gene type,S0374,Lung,Treatment,2434.45,11.249,3.012,0.3805126,High
375,64,ACTBP4,,NCBI-derived gene type,S0375,Kidney,Treatment,1870.34,10.869,2.283,0.0104878,High
376,66,ACTBP6,,NCBI-derived gene type,S0376,Muscle,Treatment,101.98,6.672,3.277,0.0791527,Medium
377,67,ACTBP7,,NCBI-derived gene type,S0377,Blood,Treatment,248.96,7.96,0.918,0.0200763,Medium
378,68,ACTBP8,,NCBI-derived gene type,S0378,Colon,Treatment,443.8,8.794,1.42,1.07e-05,Medium
379,69,ACTBP9,,NCBI-derived gene type,S0379,Breast,Treatment,1857.6,10.859,2.134,0.000765,High
380,70,ACTC1,,NCBI-derived gene type,S0380,Skin,Treatment,342.68,8.421,2.344,1.39e-05,Medium
381,71,ACTG1,,NCBI-derived gene type,S0381,Brain,Control,747.38,9.546,0.801,0.0009402,High
382,72,ACTG2,,NCBI-derived gene type,S0382,Liver,Control,344.19,8.427,0.909,0.0246321,Medium
383,73,ACTG1P1,,NCBI-derived gene type,S0383,Heart,Control,777.95,9.604,1.047,2.51e-05,High
384,74,ACTG1P2,,NCBI-derived gene type,S0384,Lung,Control,57.35,5.842,0.76,0.0080138,Low
385,75,ACTG1P3,,NCBI-derived gene type,S0385,Kidney,Control,675.6,9.4,0.84,0.0129155,High
386,78,ACTG1P6,,NCBI-derived gene type,S0386,Muscle,Control,488.23,8.931,0.959,0.0001923,Medium
387,79,ACTG1P7,,NCBI-derived gene type,S0387,Blood,Control,756.17,9.563,0.73,0.0010486,High
388,80,ACTG1P8,,NCBI-derived gene type,S0388,Colon,Control,286.83,8.164,1.125,0.0019372,Medium
389,81,ACTN4,,NCBI-derived gene type,S0389,Breast,Control,668.8,9.385,0.682,0.0007207,High
390,86,ACTL6A,,NCBI-derived gene type,S0390,Skin,Control,601.33,9.232,0.655,0.000261,High
391,87,ACTN1,,NCBI-derived gene type,S0391,Brain,Treatment,168.33,7.395,0.782,0.0001588,Medium
392,88,ACTN2,,NCBI-derived gene type,S0392,Liver,Treatment,124.09,6.955,0.374,0.0324315,Medium
393,89,ACTN3,,NCBI-derived gene type,S0393,Heart,Treatment,278.29,8.12,1.548,0.0202887,Medium
394,90,ACVR1,,NCBI-derived gene type,S0394,Lung,Treatment,1495.75,10.547,2.975,0.0615376,High
395,91,ACVR1B,,NCBI-derived gene type,S0395,Kidney,Treatment,235.1,7.877,3.065,1.58e-05,Medium
396,92,ACVR2A,,NCBI-derived gene type,S0396,Muscle,Treatment,76.89,6.265,3.252,0.1126982,Low
397,93,ACVR2B,,NCBI-derived gene type,S0397,Blood,Treatment,1246.03,10.283,2.156,0.0216095,High
398,94,ACVRL1,,NCBI-derived gene type,S0398,Colon,Treatment,299.81,8.228,0.713,1.25e-05,Medium
399,95,ACY1,,NCBI-derived gene type,S0399,Breast,Treatment,943.14,9.881,2.874,0.0080388,High
400,97,ACYP1,,NCBI-derived gene type,S0400,Skin,Treatment,2704.54,11.401,3.247,2.6e-05,High
401,98,ACYP2,,NCBI-derived gene type,S0401,Brain,Control,845.26,9.723,0.82,0.0058573,High
402,100,ADA,,NCBI-derived gene type,S0402,Liver,Control,526.34,9.04,0.927,0.0002873,High
403,101,ADAM8,,NCBI-derived gene type,S0403,Heart,Control,342.82,8.421,0.883,6.17e-05,Medium
404,102,ADAM10,,NCBI-derived gene type,S0404,Lung,Control,512.93,9.003,0.73,0.0024933,High
405,103,ADAR,,NCBI-derived gene type,S0405,Kidney,Control,906.39,9.824,0.895,0.026223,High
406,104,ADARB1,,NCBI-derived gene type,S0406,Muscle,Control,819.85,9.679,1.221,0.000129,High
407,105,ADARB2,,NCBI-derived gene type,S0407,Blood,Control,150.71,7.236,0.788,0.0067807,Medium
408,106,ADCP1,,NCBI-derived gene type,S0408,Colon,Control,761.41,9.573,1.109,6.8e-05,High
409,107,ADCY1,,NCBI-derived gene type,S0409,Breast,Control,773.98,9.596,0.996,0.0351476,High
410,108,ADCY2,,NCBI-derived gene type,S0410,Skin,Control,761.08,9.572,0.964,0.2205591,High
411,109,ADCY3,,NCBI-derived gene type,S0411,Brain,Treatment,1332.35,10.38,2.351,0.0086149,High
412,111,ADCY5,,NCBI-derived gene type,S0412,Liver,Treatment,2011.59,10.974,2.326,5.12e-05,High
413,112,ADCY6,,NCBI-derived gene type,S0413,Heart,Treatment,127.14,6.99,1.743,0.000265,Medium
414,113,ADCY7,,NCBI-derived gene type,S0414,Lung,Treatment,146.65,7.196,0.527,0.0024237,Medium
415,114,ADCY8,,NCBI-derived gene type,S0415,Kidney,Treatment,556.63,9.121,1.774,1.85e-05,High
416,115,ADCY9,,NCBI-derived gene type,S0416,Muscle,Treatment,492.62,8.944,0.592,0.1153387,Medium
417,116,ADCYAP1,,NCBI-derived gene type,S0417,Blood,Treatment,1957.95,10.935,2.287,0.0024167,High
418,117,ADCYAP1R1,,NCBI-derived gene type,S0418,Colon,Treatment,975.52,9.93,2.096,0.0526676,High
419,118,ADD1,,NCBI-derived gene type,S0419,Breast,Treatment,1583.63,10.629,1.767,0.0639933,High
420,119,ADD2,,NCBI-derived gene type,S0420,Skin,Treatment,890.7,9.799,1.363,0.0017197,High
421,120,ADD3,,NCBI-derived gene type,S0421,Brain,Control,155.11,7.277,0.693,3.07e-05,Medium
422,122,ADFN,,NCBI-derived gene type,S0422,Liver,Control,899.63,9.813,0.89,0.0227658,High
423,123,PLIN2,,NCBI-derived gene type,S0423,Heart,Control,507.03,8.986,0.771,0.000146,High
424,124,ADH1A,,NCBI-derived gene type,S0424,Lung,Control,440.57,8.783,0.958,0.0028636,Medium
425,125,ADH1B,,NCBI-derived gene type,S0425,Kidney,Control,162.95,7.348,0.911,0.0002136,Medium
426,126,ADH1C,,NCBI-derived gene type,S0426,Muscle,Control,411.73,8.686,0.887,0.0064575,Medium
427,127,ADH4,,NCBI-derived gene type,S0427,Blood,Control,790.28,9.626,1.103,2.04e-05,High
428,128,ADH5,,NCBI-derived gene type,S0428,Colon,Control,99.03,6.63,1.125,0.0002165,Low
429,1,A1BG,,NCBI-derived gene type,S0429,Breast,Control,725.11,9.502,1.11,0.1818908,High
430,2,A2M,,NCBI-derived gene type,S0430,Skin,Control,873.91,9.771,0.883,0.0054812,High
431,3,A2MP1,,NCBI-derived gene type,S0431,Brain,Treatment,211.58,7.725,1.452,0.3533244,Medium
432,9,NAT1,,NCBI-derived gene type,S0432,Liver,Treatment,1109.25,10.115,1.585,0.0062617,High
433,10,NAT2,,NCBI-derived gene type,S0433,Heart,Treatment,1243.44,10.28,1.325,0.0005894,High
434,11,NATP,,NCBI-derived gene type,S0434,Lung,Treatment,2307.98,11.172,2.912,0.0141107,High
435,12,SERPINA3,,NCBI-derived gene type,S0435,Kidney,Treatment,2221.53,11.117,2.677,0.0166513,High
436,13,AADAC,,NCBI-derived gene type,S0436,Muscle,Treatment,1261.08,10.3,2.385,0.0009773,High
437,14,AAMP,,NCBI-derived gene type,S0437,Blood,Treatment,544.67,9.089,1.492,7.03e-05,High
438,15,AANAT,,NCBI-derived gene type,S0438,Colon,Treatment,727.47,9.507,3.335,0.0019296,High
439,16,AARS,,NCBI-derived gene type,S0439,Breast,Treatment,180.49,7.496,0.783,2.31e-05,Medium
440,17,AAVS1,,NCBI-derived gene type,S0440,Skin,Treatment,565.1,9.142,0.669,0.0419866,High
441,18,ABAT,,NCBI-derived gene type,S0441,Brain,Control,835.94,9.707,1.269,1.5e-05,High
442,19,ABCA1,,NCBI-derived gene type,S0442,Liver,Control,340.08,8.41,1.186,4.13e-05,Medium
443,20,ABCA2,,NCBI-derived gene type,S0443,Heart,Control,379.84,8.569,0.764,0.0807833,Medium
444,21,ABCA3,,NCBI-derived gene type,S0444,Lung,Control,772.24,9.593,1.216,6e-05,High
445,22,ABCB7,,NCBI-derived gene type,S0445,Kidney,Control,440.49,8.783,0.938,0.0150975,Medium
446,23,ABCF1,,NCBI-derived gene type,S0446,Muscle,Control,241.34,7.915,0.961,0.0002184,Medium
447,24,ABCA4,,NCBI-derived gene type,S0447,Blood,Control,749.79,9.55,0.964,0.0032348,High
448,25,ABL1,,NCBI-derived gene type,S0448,Colon,Control,312.92,8.29,1.216,0.0016009,Medium
449,26,AOC1,,NCBI-derived gene type,S0449,Breast,Control,835.94,9.707,0.907,0.2828211,High
450,27,ABL2,,NCBI-derived gene type,S0450,Skin,Control,984.52,9.943,0.973,0.000211,High
451,28,ABO,,NCBI-derived gene type,S0451,Brain,Treatment,774.35,9.597,2.011,0.3479047,High
452,29,ABR,,NCBI-derived gene type,S0452,Liver,Treatment,2350.35,11.199,2.874,4.47e-05,High
453,30,ACAA1,,NCBI-derived gene type,S0453,Heart,Treatment,601.32,9.232,2.37,0.1283363,High
454,31,ACACA,,NCBI-derived gene type,S0454,Lung,Treatment,374.79,8.55,0.673,0.094557,Medium
455,32,ACACB,,NCBI-derived gene type,S0455,Kidney,Treatment,1063.14,10.054,1.248,0.0386055,High
456,33,ACADL,,NCBI-derived gene type,S0456,Muscle,Treatment,885.04,9.79,3.202,4.93e-05,High
457,34,ACADM,,NCBI-derived gene type,S0457,Blood,Treatment,1466.68,10.518,3.331,0.0001106,High
458,35,ACADS,,NCBI-derived gene type,S0458,Colon,Treatment,658.66,9.363,1.451,1.33e-05,High
459,36,ACADSB,,NCBI-derived gene type,S0459,Breast,Treatment,112.0,6.807,1.931,0.0001283,Medium
460,37,ACADVL,,NCBI-derived gene type,S0460,Skin,Treatment,1522.64,10.572,1.531,1.36e-05,High
461,38,ACAT1,,NCBI-derived gene type,S0461,Brain,Control,931.17,9.863,1.237,0.0113453,High
462,39,ACAT2,,NCBI-derived gene type,S0462,Liver,Control,792.42,9.63,0.746,0.000223,High
463,40,ASIC2,,NCBI-derived gene type,S0463,Heart,Control,830.61,9.698,1.137,4.49e-05,High
464,41,ASIC1,,NCBI-derived gene type,S0464,Lung,Control,707.01,9.466,0.964,1.06e-05,High
465,43,ACHE,,NCBI-derived gene type,S0465,Kidney,Control,83.83,6.389,0.829,0.0840091,Low
466,46,ACLS,,NCBI-derived gene type,S0466,Muscle,Control,551.06,9.106,1.159,0.0030236,High
467,47,ACLY,,NCBI-derived gene type,S0467,Blood,Control,115.63,6.853,0.852,0.0002603,Medium
468,48,ACO1,,NCBI-derived gene type,S0468,Colon,Control,52.51,5.715,0.944,0.0538674,Low
469,49,ACR,,NCBI-derived gene type,S0469,Breast,Control,459.83,8.845,0.728,0.179552,Medium
470,50,ACO2,,NCBI-derived gene type,S0470,Skin,Control,598.76,9.226,0.662,0.002644,High
471,51,ACOX1,,NCBI-derived gene type,S0471,Brain,Treatment,197.14,7.623,0.802,0.0010409,Medium
472,52,ACP1,,NCBI-derived gene type,S0472,Liver,Treatment,683.21,9.416,1.108,0.0009075,High
473,53,ACP2,,NCBI-derived gene type,S0473,Heart,Treatment,412.74,8.689,0.62,0.3809571,Medium
474,54,ACP5,,NCBI-derived gene type,S0474,Lung,Treatment,145.19,7.182,2.007,0.0024235,Medium
475,55,ACPP,,NCBI-derived gene type,S0475,Kidney,Treatment,2071.25,11.016,2.096,0.0006841,High
476,56,ACRV1,,NCBI-derived gene type,S0476,Muscle,Treatment,1112.16,10.119,2.352,0.4082115,High
477,58,ACTA1,,NCBI-derived gene type,S0477,Blood,Treatment,103.25,6.69,0.401,0.0508211,Medium
478,59,ACTA2,,NCBI-derived gene type,S0478,Colon,Treatment,925.46,9.854,2.659,0.0089703,High
479,60,ACTB,,NCBI-derived gene type,S0479,Breast,Treatment,2059.74,11.008,2.666,0.0003655,High
480,62,ACTBP2,,NCBI-derived gene type,S0480,Skin,Treatment,101.66,6.668,2.07,0.0666027,Medium
481,63,ACTBP3,,NCBI-derived gene type,S0481,Brain,Control,179.21,7.486,1.195,0.0015266,Medium
482,64,ACTBP4,,NCBI-derived gene type,S0482,Liver,Control,696.91,9.445,1.092,0.0651687,High
483,66,ACTBP6,,NCBI-derived gene type,S0483,Heart,Control,67.79,6.083,1.193,0.0014161,Low
484,67,ACTBP7,,NCBI-derived gene type,S0484,Lung,Control,296.98,8.214,0.681,8.66e-05,Medium
485,68,ACTBP8,,NCBI-derived gene type,S0485,Kidney,Control,46.7,5.545,1.303,0.0026443,Low
486,69,ACTBP9,,NCBI-derived gene type,S0486,Muscle,Control,989.18,9.95,1.03,0.0001551,High
487,70,ACTC1,,NCBI-derived gene type,S0487,Blood,Control,754.52,9.559,0.784,0.0004762,High
488,71,ACTG1,,NCBI-derived gene type,S0488,Colon,Control,781.94,9.611,1.256,0.0003631,High
489,72,ACTG2,,NCBI-derived gene type,S0489,Breast,Control,128.85,7.01,0.908,0.1515607,Medium
490,73,ACTG1P1,,NCBI-derived gene type,S0490,Skin,Control,744.59,9.54,1.276,0.0006565,High
491,74,ACTG1P2,,NCBI-derived gene type,S0491,Brain,Treatment,1863.02,10.863,1.913,0.0021795,High
492,75,ACTG1P3,,NCBI-derived gene type,S0492,Liver,Treatment,1836.17,10.842,1.986,0.0582634,High
493,78,ACTG1P6,,NCBI-derived gene type,S0493,Heart,Treatment,436.06,8.768,0.599,0.0067847,Medium
494,79,ACTG1P7,,NCBI-derived gene type,S0494,Lung,Treatment,1702.64,10.734,2.068,0.0003234,High
495,80,ACTG1P8,,NCBI-derived gene type,S0495,Kidney,Treatment,205.91,7.686,2.432,0.0002758,Medium
496,81,ACTN4,,NCBI-derived gene type,S0496,Muscle,Treatment,1023.16,9.999,1.692,0.017454,High
497,86,ACTL6A,,NCBI-derived gene type,S0497,Blood,Treatment,171.51,7.422,0.483,0.1227933,Medium
498,87,ACTN1,,NCBI-derived gene type,S0498,Colon,Treatment,1243.22,10.28,3.494,0.0001952,High
499,88,ACTN2,,NCBI-derived gene type,S0499,Breast,Treatment,3269.6,11.675,3.336,2.25e-05,High
500,89,ACTN3,,NCBI-derived gene type,S0500,Skin,Treatment,955.43,9.9,1.494,0.0582306,High
501,90,ACVR1,,NCBI-derived gene type,S0501,Brain,Control,681.01,9.412,1.317,4.69e-05,High
502,91,ACVR1B,,NCBI-derived gene type,S0502,Liver,Control,609.54,9.252,1.197,1.46e-05,High
503,92,ACVR2A,,NCBI-derived gene type,S0503,Heart,Control,71.9,6.168,1.195,0.0005269,Low
